record_kind,id,slug,title,brotherhood,record_type,municipality,record_date,initial_status,final_status,classification,sources,entity_relations,outing_entities,bands
"cult_occurrence","ef35f462-3cb8-4ec8-b421-d115908bf0cc","—","Función Solemne a Nuestro Padre Jesús Cautivo en Su Soledad","Real Hermandad Sacramental del Juncal","Función Solemne","Sevilla","2026-03-15","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","065d1f08-fc30-49a9-9e1f-7e4ba09066d3","—","Besapiés a Nuestro Padre Jesús Cautivo en Su Soledad","Real Hermandad Sacramental del Juncal","Besapiés","Sevilla","2026-03-21","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","2de8fe40-84f2-47b9-9b24-fb681a429c57","—","Vía Crucis de Nuestro Padre Jesús Cautivo en Su Soledad","Real Hermandad Sacramental del Juncal","Vía Crucis","Sevilla","2026-03-27","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","b8324d63-c43c-456c-8798-2c51be26a19c","via-crucis-cautivo-juncal-2026","Vía Crucis de Nuestro Padre Jesús Cautivo en Su Soledad 2026","Real Hermandad Sacramental del Juncal","Vía Crucis","Sevilla","2026-03-27","announced","announced","sin evidencia posterior suficiente","1","0","1","0"
"cult_occurrence","d7ae86b5-dabf-484f-8257-b0848e699129","—","Misa Estacional ante los Sagrados Titulares","Hermandad de San Pablo","Misa Estacional","Sevilla","2026-03-28","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","a23e0b27-909b-463e-8e53-a27193499259","salida-humildad-caridad-el-olivo-2026","Salida procesional de Humildad y Caridad – El Olivo 2026","Agrupación Parroquial Humildad y Caridad – El Olivo","Salida procesional","La Rinconada","2026-03-28","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","d5fd3686-5181-46b1-b274-388593cb53d1","tocina-borriquita-encarnacion-2026","Domingo de Ramos de la Vera Cruz de Tocina 2026","Vera Cruz de Tocina","Procesión","Tocina","2026-03-29","announced","announced","sin evidencia posterior suficiente","1","0","2","0"
"outing","1a5445d1-6c6e-4aa7-b785-52dcd25219d7","san-pablo-estacion-penitencia-2026","Estación de penitencia de San Pablo 2026","Hermandad de San Pablo","Estación de penitencia","Sevilla","2026-03-30","announced","announced","sin evidencia posterior suficiente","2","0","4","0"
"outing","6f79cce1-32a3-4e68-a1ea-2d6bb6770e9f","estacion-penitencia-salud-la-rinconada-2026","Estación de penitencia de la Hermandad de la Salud 2026","Hermandad de la Salud de La Rinconada","Estación de penitencia","La Rinconada","2026-04-01","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","7a98961d-da9b-4db7-82bc-daf2c857c4f1","estacion-penitencia-sagrada-lanzada-2026","Estación de penitencia de la Sagrada Lanzada 2026","Hermandad de la Sagrada Lanzada","Estación de penitencia","Sevilla","2026-04-01","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","d115f64d-4f98-4f97-9dd8-1bc2302d1d37","los-negritos-estacion-penitencia-2026","Estación de penitencia de Los Negritos 2026","Hermandad de los Negritos","Estación de penitencia","Sevilla","2026-04-02","announced","announced","sin evidencia posterior suficiente","1","0","2","3"
"cult_occurrence","202c5504-1bd3-4c31-8fc0-7863a446ba95","—","Función Solemne a la Resurrección de Nuestro Señor","Hermandad de Pasión y Muerte","Función Solemne","Sevilla","2026-04-05","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","be1af71e-cee6-46eb-8069-cc58a73a76f4","procesion-resurreccion-la-rinconada-2026","Procesión del Santísimo Cristo de la Resurrección 2026","Hermandad de la Resurrección de La Rinconada","Procesión de Gloria","La Rinconada","2026-04-05","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","25d19f05-52bd-424b-ae66-2641919f7bbd","—","Función Principal de Instituto 2026","Nuestra Señora de Araceli","Función Principal de Instituto","Sevilla","2026-05-09","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","fa50dfe6-513e-4e28-9979-a05bf805c364","salida-procesional-araceli-sevilla-2026","Salida procesional de Nuestra Señora de Araceli 2026","Nuestra Señora de Araceli","Procesión de Gloria","Sevilla","2026-05-09","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","f032fff1-9712-42ee-8878-7e1f420d4bcd","procesion-sacramental-reina-todos-santos-2026","Procesión sacramental de enfermos e impedidos 2026","Reina de Todos los Santos","Procesión sacramental","Sevilla","2026-05-10","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","e231ed2f-d41e-467c-b0b3-27fb5cfeb809","tocina-vera-cruz-cruz-mayo-2026","Cruz de Mayo de la Vera Cruz de Tocina 2026","Vera Cruz de Tocina","Cruz de Mayo","Tocina","2026-05-16","announced","announced","sin evidencia posterior suficiente","1","0","0","1"
"cult_occurrence","32dbb36d-ce66-41be-b7bd-8a5f6ea4795a","—","Función del aniversario de la Coronación Pontificia","Hermandad de los Negritos","Función","Sevilla","2026-05-18","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","5cb9c7bd-f72a-48a2-b2e3-f6a3aba00c49","—","Triduo al Santísimo Sacramento","Sacramental de San Pedro","Triduo sacramental","Sevilla","2026-05-30","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","4b4a9800-b10b-4b8c-b5b0-c6898451a6e8","—","Función Solemne a Nuestra Señora del Desconsuelo y Visitación","Hermandad de Pasión y Muerte","Función Solemne","Sevilla","2026-05-31","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","9cf4fbfd-a6e1-424f-9b3c-a26d6d7ad1ca","—","Función Principal de Instituto","Sacramental de San Pedro","Función Principal de Instituto","Sevilla","2026-05-31","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","9cc8d003-ab58-4654-9856-f7142a842ccd","procesion-sacramental-san-pedro-2026","Procesión sacramental de San Pedro 2026","Sacramental de San Pedro","Procesión sacramental","Sevilla","2026-05-31","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","be8fa736-314a-432d-8c81-692abb3e7024","la-mision-procesion-eucaristica-2026","Procesión eucarística de La Misión 2026","Hermandad de la Misión","Procesión eucarística","Sevilla","2026-05-31","announced","announced","sin evidencia posterior suficiente","1","0","1","0"
"cult_occurrence","49969fd1-5f53-4769-9913-d8eb74c57ee4","—","Triduo al Santísimo Sacramento","Reina de Todos los Santos","Triduo sacramental","Sevilla","2026-06-02","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","c352810d-6293-4a5c-bc11-08d9b9b762c1","—","Función solemne al Santísimo Sacramento","Reina de Todos los Santos","Función Solemne","Sevilla","2026-06-02","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","7065b4a6-256e-42e9-925e-917cd2034854","—","Solemne Novena al Inmaculado Corazón de María","Hermandad de la Misión","Novena","Sevilla","2026-06-13","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","66112ebd-78b9-4686-8449-7e6283c8f630","inmaculado-corazon-maria-mision-2026","Procesión del Inmaculado Corazón de María 2026","Hermandad de la Misión","Procesión de gloria","Sevilla","2026-06-13","announced","announced","sin evidencia posterior suficiente","2","0","1","1"
"outing","98e49b55-892a-4587-824c-ed376ad5bd4f","san-pablo-corpus-christi-2026","Procesión del Corpus Christi de San Pablo 2026","Hermandad de San Pablo","Procesión sacramental","Sevilla","2026-06-14","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","e7009818-d0ba-4d35-8917-af745f522032","purisima-la-algaba-romeria-2026","Romería de la Purísima Concepción de María Coronada 2026","Purísima de La Algaba","Romería","La Algaba","2026-06-14","announced","announced","sin evidencia posterior suficiente","1","0","1","0"
"cult_occurrence","8cd23216-4c26-41b8-be6c-0276b65ea632","—","Solemne Función de San Ignacio de Loyola","Hermandad de San Pablo","Función","Sevilla","2026-07-31","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","c646c006-b26d-4368-ac55-b1aecf048451","—","Función Solemne a Nuestra Señora de los Ángeles Coronada","Hermandad de los Negritos","Función","Sevilla","2026-08-02","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","909cbfef-2fb3-4822-8696-d770a80ab587","—","Jubileo Circular de las XL Horas","Hermandad de los Negritos","Jubileo","Sevilla","2026-08-03","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","cfcfe22f-6f39-451a-87f8-3b42966d523a","—","Solemne Triduo a Nuestra Señora de los Ángeles Coronada","Hermandad de los Negritos","Triduo","Sevilla","2026-08-03","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","37000000-0000-0000-0000-000000000001","—","Procesión de Nuestra Señora de la Asunción 2026","La Asunción de Cantillana","Procesión de Gloria","Cantillana","2026-08-15","announced","announced","sin evidencia posterior suficiente","1","0","2","0"
"outing","fcc44055-2ca6-4374-a9e9-74e7cb7f8270","tocina-vera-cruz-traslado-funcion-2026","Traslado del Santísimo Cristo de la Vera Cruz para la Función del Señor 2026","Vera Cruz de Tocina","Traslado","Tocina","2026-08-22","announced","announced","sin evidencia posterior suficiente","1","0","1","1"
"event","677b6686-f074-4004-8b9e-f51b24f912db","iguala-virgen-cuatrovitas-2026","Igualá de la Virgen de Cuatrovitas","Hermandad de Cuatrovitas","iguala","Bollullos de la Mitación","2026-09-01","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","7e562ddf-61b6-46f8-83f5-384080efe04f","—","Rezo del Santo Rosario","La Quinta Angustia","Santo Rosario","Sevilla","2026-09-03","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"event","0fa379af-f22e-4893-b085-7b3f35fd3524","iguala-y-primer-ensayo-nino-jesus-san-bernardo-2026","Igualá y primer ensayo del paso del Niño Jesús de San Bernardo","Hermandad de San Bernardo","iguala","Sevilla","2026-09-03","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"event","297bb1c5-fb05-4752-b4e6-04ece38be350","iguala-nuestra-senora-guadalupe-sevilla-2026","Igualá de Nuestra Señora de Guadalupe","Franciscana Hermandad de Nuestra Señora de Guadalupe","iguala","Sevilla","2026-09-03","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"event","9c440720-b94d-4b55-8d7f-e8dee09b382b","iguala-divina-pastora-triana-2026","Igualá de la Divina Pastora de Triana","Pastora de Triana","iguala","Sevilla","2026-09-03","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","f1e1825b-b835-4daa-9fd8-85fc0a9f004f","—","Misa de Hermandad","Hermandad de Pino Montano","Misa de Hermandad","Sevilla","2026-09-04","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","28e6b2a6-fed3-4380-9f60-0de274111ddf","—","Solemne Triduo a María Santísima del Dulce Nombre","Dulce Nombre de Bellavista","Triduo","Sevilla","2026-09-05","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"event","85619262-707f-48bd-bfc7-b7060afae2a1","iguala-y-ensayo-nuestra-senora-juncal-2026","Igualá y ensayo de Nuestra Señora del Juncal","Real Hermandad Sacramental del Juncal","iguala","Sevilla","2026-09-05","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"event","96b20386-3b1f-4cd0-8b04-a425fe064222","iguala-y-muda-divina-pastora-padre-pio-2026","Igualá y mudá de la Divina Pastora de Padre Pío","Pastora de Padre Pío","iguala","Sevilla","2026-09-05","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","4bab4de6-1a35-4de9-97a4-f7452c9e1b32","—","Solemne Besamanos y ofrenda floral a María Santísima del Dulce Nombre","Dulce Nombre de Bellavista","Besamanos","Sevilla","2026-09-06","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","70af473a-e5ec-42d7-8f3f-835cbcb63ad0","—","Función Principal de Instituto a María Santísima del Dulce Nombre","Dulce Nombre de Bellavista","Función Principal","Sevilla","2026-09-06","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","02a3d27f-83be-4a6f-93a9-88c00982eecd","benacazon-dolores-rosario-aurora-2026-09-06","Rosario de la Aurora de Nuestra Señora de los Dolores 2026","—","Rosario de la Aurora","Benacazón","2026-09-06","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","2d2af89a-8a1f-41c9-b232-8cb796457b36","purisima-de-la-algaba-traslado-2026-09-06","Traslado de la Purísima Concepción de María Coronada a la Parroquia 2026","Purísima de La Algaba","Traslado","La Algaba","2026-09-06","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","1e5ae069-83e0-49b5-9557-33448f0e1759","—","Solemne Novena a Nuestra Señora de Consolación","Hermandad de Nuestra Señora de Consolación, Patrona de Osuna","Novena","Osuna","2026-09-07","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","8d073434-e12f-4023-aac2-dec84fbb1038","—","Solemne Novena 2026","Pontificia, Real e Ilustre Hermandad de Nuestra Señora de Consolación Coronada","Novena","Utrera","2026-09-07","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","a6718ba0-28e3-40a1-becf-4195331dc8a2","—","Solemne Novena 2026","Hermandad de Nuestra Señora del Valle Coronada","Novena","Écija","2026-09-07","announced","announced","sin evidencia posterior suficiente","0","0","0","0"
"cult_occurrence","ace0cd27-e786-46df-ac2d-f8fdde1ffd3d","—","Solemne Novena a María Santísima de Setefilla 2026","Hermandad Mayor de Nuestra Señora de Setefilla","Novena","Lora del Río","2026-09-07","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","c2bb947f-abc5-4620-ac13-a5aa2c9dabca","—","Ofrenda de Nardos y procesión del Divino Lucero","Estrella de Coria del Río","Ofrenda floral","Coria del Río","2026-09-07","announced","announced","sin evidencia posterior suficiente","3","0","0","0"
"event","aa9aaa0a-c766-468d-a5df-9bdf6ad4bc33","ensayo-cuadrilla-baja-virgen-cuatrovitas-2026-09-07","Ensayo de la cuadrilla baja de la Virgen de Cuatrovitas","Hermandad de Cuatrovitas","ensayo","Bollullos de la Mitación","2026-09-07","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","ced0d669-926d-44ae-8fd1-3bb07670cb3d","coria-divino-lucero-2026-09-07","Ofrenda de Nardos y procesión del Divino Lucero 2026","Estrella de Coria del Río","Procesión de Gloria","Coria del Río","2026-09-07","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","1f6a0022-03a5-4de8-851c-1f3c932bab13","—","Función Principal de Instituto en honor de Nuestra Señora de la Estrella","Estrella de Coria del Río","Función Principal","Coria del Río","2026-09-08","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","2a3a982b-8f32-413f-aecc-9b31a748f133","—","Solemne Función Principal 2026","Pontificia, Real e Ilustre Hermandad de Nuestra Señora de Consolación Coronada","Función Principal","Utrera","2026-09-08","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","4f23bd0c-cc8b-4d56-8846-f83cad7eaca5","—","Solemne Novena a Nuestra Señora de la Estrella","Estrella de Coria del Río","Novena","Coria del Río","2026-09-08","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","7ab1add0-cf87-4b02-a15b-290086753d9e","—","Función Principal de Instituto de Nuestra Señora de Setefilla 2026","Hermandad Mayor de Nuestra Señora de Setefilla","Función Principal","Lora del Río","2026-09-08","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","c243a86b-264b-4a91-90d2-ab90ef78abe9","—","Función Principal de Instituto","Hermandad de Nuestra Señora de Consolación, Patrona de Osuna","Función Principal","Osuna","2026-09-08","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","e04a30e6-757a-48bb-ac9a-e70f8f5421bf","—","Solemne Función de la Patrona 2026","Hermandad de Nuestra Señora del Valle Coronada","Función Principal","Écija","2026-09-08","announced","announced","sin evidencia posterior suficiente","0","0","0","0"
"cult_occurrence","eb301dbb-b84d-44c6-9158-0f23317ab926","—","Besamanos de María Santísima de Setefilla 2026","Hermandad Mayor de Nuestra Señora de Setefilla","Besamanos","Lora del Río","2026-09-08","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","f713fa34-bbb2-432a-88ef-a2c715c06ed2","—","Rosario Público Cantado de vísperas","Estrella de Coria del Río","Rosario público","Coria del Río","2026-09-08","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"event","5397cbbe-ef95-49ec-bd0e-0ae310ff2389","segundo-ensayo-nino-jesus-san-bernardo-2026","Segundo ensayo del paso del Niño Jesús de San Bernardo","Hermandad de San Bernardo","ensayo","Sevilla","2026-09-08","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","6c6f0882-d652-41d0-b9cb-6c282bfcff41","villaverde-del-rio-aguas-santas-2026-09-08","Procesión de Nuestra Señora de Aguas Santas 2026","Aguas Santas de Villaverde del Río","Procesión de Gloria","Villaverde del Río","2026-09-08","announced","announced","sin evidencia posterior suficiente","5","0","0","0"
"outing","99467611-8d13-4f7e-8e31-2bb46f905e1e","osuna-consolacion-2026-09-08","Procesión de Nuestra Señora de Consolación 2026","Hermandad de Nuestra Señora de Consolación, Patrona de Osuna","Procesión de Gloria","Osuna","2026-09-08","announced","held","celebración confirmada","6","0","1","1"
"outing","d4debf08-2ffc-40ef-9e9b-001056634cf8","utrera-consolacion-2026-09-08","Procesión Triunfal de Gloria de Nuestra Señora de Consolación Coronada 2026","Pontificia, Real e Ilustre Hermandad de Nuestra Señora de Consolación Coronada","Procesión de Gloria","Utrera","2026-09-08","announced","held","celebración confirmada","5","0","0","0"
"outing","ddb20bf2-4bf5-4976-b8e1-c8ec1b94e04e","ecija-virgen-valle-2026-09-08","Procesión de Nuestra Señora del Valle Coronada 2026","Hermandad de Nuestra Señora del Valle Coronada","Procesión de Gloria","Écija","2026-09-08","announced","held","celebración confirmada","3","0","0","1"
"outing","f2269fd6-67d9-470f-a1c3-1bc4f39c65db","lora-del-rio-setefilla-2026-09-08","Romería de Nuestra Señora de Setefilla 2026","Hermandad Mayor de Nuestra Señora de Setefilla","Romería","Lora del Río","2026-09-08","announced","held","celebración confirmada","5","0","0","0"
"outing","fe8a73c6-d4bb-404e-9509-d3c911d862ce","coria-del-rio-estrella-2026-09-08","Procesión de Nuestra Señora de la Estrella Coronada 2026","Estrella de Coria del Río","Procesión de Gloria","Coria del Río","2026-09-08","announced","held","celebración confirmada","5","0","0","0"
"cult_occurrence","0d777e91-909b-4fdf-8fd7-bd1a091dbd57","—","Rezo del Santo Rosario","La Quinta Angustia","Santo Rosario","Sevilla","2026-09-10","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","d1abfbe9-14c3-4f26-a667-44e2e08b883a","—","Besamanos y ofrenda floral a María Santísima de las Maravillas","Las Maravillas de San Diego","Besamanos","Sevilla","2026-09-10","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"event","6f8957d8-6150-46b9-af16-9957bf73709b","tercer-ensayo-nino-jesus-san-bernardo-2026","Tercer ensayo del paso del Niño Jesús de San Bernardo","Hermandad de San Bernardo","ensayo","Sevilla","2026-09-10","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"event","956fa2c2-e034-491e-ac5d-8889cba13d57","iguala-santa-maria-buen-aire-2026","Igualá de Santa María del Buen Aire","Hermandad de Pasión y Muerte","iguala","Sevilla","2026-09-10","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","15016d37-b857-46d2-8e41-dd6cbdaa68a5","—","Solemne triduo en honor de Nuestra Señora de Guadalupe","Franciscana Hermandad de Nuestra Señora de Guadalupe","Triduo","Sevilla","2026-09-11","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","29ac0e46-b36d-4f64-bbe7-6fb7e475d939","—","Ofrenda floral a Nuestra Señora del Castillo Coronada · 2026","Hermandad del Castillo de Lebrija","Ofrenda floral","Lebrija","2026-09-11","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","9851cf1e-6848-4c9c-9492-21be05f6b415","—","Solemne Triduo a Nuestra Señora del Juncal","Real Hermandad Sacramental del Juncal","Triduo","Sevilla","2026-09-11","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","b9a6ae2c-7060-4189-afa9-eef77caaabc4","—","Exposición, Adoración y Reserva del Santísimo Sacramento y Santa Misa de Hermandad","Hermandad de San Pablo","Misa de Hermandad","Sevilla","2026-09-11","announced","announced","sin evidencia posterior suficiente","2","2","0","0"
"cult_occurrence","1f5e8cae-5856-43e7-8200-62bcd5e0ec95","—","Solemne Función a Nuestra Señora del Castillo Coronada · 2026","Hermandad del Castillo de Lebrija","Función","Lebrija","2026-09-12","announced","announced","sin evidencia posterior suficiente","3","0","0","0"
"cult_occurrence","5e0d5752-8b5d-4f8d-b096-ec1e2dae487d","—","Solemne Triduo a Nuestra Señora de la Luz","Antigua, Real e Ilustre Hermandad de Nuestra Señora de la Luz","Triduo","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","6c3143cf-2cfb-45da-8d4b-db56760196a3","—","Solemne novena en honor de la Divina Pastora de Santa Marina","Pastora de Santa Marina","Novena","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"cult_occurrence","7824d7d5-14fb-4d4b-885e-9a6045383d76","—","Misa votiva de la fiesta del Dulce Nombre de María","Dulce Nombre de Bellavista","Misa votiva","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"cult_occurrence","a111f6f0-b41a-40fd-841c-ed9188067755","—","Solemne triduo en honor de la Divina Pastora de Triana","Pastora de Triana","Triduo","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"event","59ceee99-d96b-4abd-b37b-39495fd4b3af","iguala-mercedes-puerta-real-2026","Igualá de Nuestra Señora de las Mercedes Coronada","Hermandad de las Mercedes de la Puerta Real","iguala","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","3aec685b-3c33-41f4-a924-1490aaec5c6e","bellavista-dulce-nombre-rosario-vespertino-2026-09-12","Rosario vespertino de María Santísima del Dulce Nombre 2026","Dulce Nombre de Bellavista","Rosario vespertino","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
"outing","42746cf8-0115-4ea1-866f-92b6c869bdd4","pastora-santa-marina-corona-serafica-2026-09-12","Procesión de la Corona Seráfica con el Simpecado 2026","Pastora de Santa Marina","Procesión","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","94a23dc1-3858-474d-883a-f729681d75ae","maravillas-san-diego-rosario-vespertino-2026-09-12","Rosario vespertino de María Santísima de las Maravillas 2026","Las Maravillas de San Diego","Rosario vespertino","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","3","0","0","0"
"outing","96915812-c63e-4034-8897-39b8bd164ef9","almaden-de-la-plata-cristo-del-crucero-2026-09-12","Procesión del Santísimo Cristo del Crucero 2026","—","Procesión patronal","Almadén de la Plata","2026-09-12","announced","announced","sin evidencia posterior suficiente","1","0","0","0"
"outing","9fe89182-fb44-45d0-88d9-eb8e33a12b63","guadalupe-san-buenaventura-2026-09-12","Procesión de Nuestra Señora de Guadalupe de San Buenaventura 2026","Franciscana Hermandad de Nuestra Señora de Guadalupe","Procesión de Gloria","Sevilla","2026-09-12","announced","announced","sin evidencia posterior suficiente","2","0","0","0"
