branch,sha,committed_at,subject,classification,behind_main,ahead_main,unique_commits,patch_equivalent_commits,duplicate_tip_branches,open_pr_at_cut,proposed_action
agent/san-benito-readiness,aea7e81b360346891ba6e42ccce6b6efd836b1d1,2026-08-15T00:07:26+02:00,Sincroniza main en San Benito readiness,review_required,1545,23,22,0,1,none_repo_wide,review
agent/san-benito-readiness-sync-backup,feb8ccc530662f0e0e0ac66af312e11cbbb0aa00,2026-08-14T23:53:36+02:00,Hace realmente opcional el responsable de una intervención,review_required,1555,20,20,0,1,none_repo_wide,review
agent/seo-rendimiento-indexacion,7ee7b4dfaa2b5f13e9e7a367794cd05bdf3ee410,2026-08-19T15:01:21+02:00,Mantiene los nombres de bandas con jerarquía tipográfica común,review_required,1386,2,2,0,1,none_repo_wide,review
agent/tira-del-hilo-2-11-descubrimiento,016506d15238a48047bf2725ac1c80380db0128f,2026-08-22T03:21:39+02:00,Hace descubrible la exploración guiada del grafo,review_required,1207,6,6,0,1,none_repo_wide,review
agent/tira-del-hilo-2-2-contexto-conjuntos,02b50ee169fadd97ee3119058ff497c3f70abb5e,2026-08-22T02:12:43+02:00,Mantiene conjuntos entre repreguntas conversacionales,review_required,1231,3,3,0,1,none_repo_wide,review
archive/pre-cleanup-20260909,1261c3d1d7da023faa0449ed2cd2b69fef7fabe1,2026-09-09T09:48:37+02:00,Archivo recuperable previo a la limpieza de ramas del 9 de septiembre de 2026,review_required,5,1512,1483,0,1,none_repo_wide,review
chore/identidad-corporativa-oficial-20260831,0ced56596f7d4e21dec542287c85ee3c4806c61c,2026-08-31T20:14:00+02:00,test: añade auditoría de identidad corporativa,review_required,455,13,13,0,1,none_repo_wide,review
chore/pasos-public-authority-reconcile-20260823,fc978330adfaf39f6de4c6a600d9f197e2991f82,2026-08-23T17:29:54+02:00,Blinda la autoridad pública de Pasos,review_required,958,2,2,0,1,none_repo_wide,review
chore/personas-public-authority-20260823,abf33e24adb6301ff246b45e57b646fdce7d437f,2026-08-23T23:21:07+02:00,Alinea la regresión de Personas con la migración remota,review_required,925,6,6,0,1,none_repo_wide,review
chore/rebuild-pr214-20260823,534a203900b682c73beff90b04bcd4a98853e391,2026-08-23T13:04:08+02:00,Documenta autoridad pública de Hermandades,review_required,988,2,2,0,1,none_repo_wide,review
codex/hc-016-3-state-sync,e9eff6e1f50c12b5a1491270a9949b1b0c3bdcf0,2026-09-07T17:18:13+02:00,Sincroniza el estado canónico tras HC-016.3,review_required,55,1,1,0,1,none_repo_wide,review
content/cristo-sangre-cartel-pastora-2024,4ec7e6d6cc1bac4d3af5e387d84e19f9b508595b,2026-08-21T20:27:10+02:00,Dispara reconstrucción segura de medios,review_required,1281,2,2,0,1,none_repo_wide,review
docs/cierra-arquitectura-publica-final-20260823,0f53656d08c025775f95ce17e3db825c8261adaf,2026-08-23T23:30:45+02:00,Declara cerrada la Arquitectura pública,review_required,923,1,1,0,1,none_repo_wide,review
docs/cierra-fase-consolidacion-20260824,06c0405fcc8fbfb879139a57cc6879a50d15a7d9,2026-08-24T02:24:39+02:00,Selecciona Experiencia móvil como siguiente gran frente,review_required,897,1,1,0,1,none_repo_wide,review
docs/cierra-smoke-transversal-20260823,cf10d50ea906968a609c8e6f48aa4521328a9740,2026-08-24T00:20:26+02:00,Reconcilia el cierre del smoke con el main vigente,review_required,922,2,2,0,1,none_repo_wide,review
docs/estado-operativo-post-hermandades-20260823,6b9b5f308f822e63f7a4708b355837d51b6b1c00,2026-08-23T16:52:54+02:00,Compacta el estado operativo tras cerrar Hermandades,review_required,975,1,1,0,1,none_repo_wide,review
docs/estado-y-decisiones-hc-20260823,570ae9c101786e3daf10ef91a63f88e6531a0677,2026-08-23T20:56:08+02:00,Formaliza HC-007 enlaces externos,review_required,933,6,6,0,1,none_repo_wide,review
docs/hc-011-patrimonio-musical-relacional,e876f76039190747481c220dbb04fd38d93957aa,2026-08-21T17:12:10+02:00,Añade casos de validación a HC-011,review_required,1303,2,2,0,1,none_repo_wide,review
docs/prioriza-salud-grafo-20260823,b251289c3b5d5f4c5c20bb64301c4bcc7190fde5,2026-08-24T01:53:40+02:00,Prioriza la primera cola de Salud del grafo,review_required,900,1,1,0,1,none_repo_wide,review
docs/protocolo-media-abierta-20260824,abf67dca39efd145f7809b98ce941a65aaecaa88,2026-08-24T02:16:37+02:00,Documenta el protocolo editorial de media abierta y Wikimedia,review_required,898,1,1,0,1,none_repo_wide,review
docs/sincroniza-decisiones-hc-20260824,48a55d015ccf6d170b517b9890877cd8e7d286d3,2026-08-24T02:26:27+02:00,Corrige la revisión de decisiones frente al registro real,review_required,898,3,3,0,1,none_repo_wide,review
editorial/corrige-colores-virgen-reyes,ebb24b7ca55c243b1b23d5fb237be6cb05ebc330,2026-09-02T10:47:28+02:00,Corrige los colores de Virgen de los Reyes,review_required,379,1,1,0,1,none_repo_wide,review
feat/directorios-relacionales-coherentes,4500543574e583d2a29e562791ad686d0e55a1db,2026-08-21T18:40:56+02:00,Carga ajustes de logotipos en Bandas,review_required,1302,2,2,0,1,none_repo_wide,review
feat/hc-hero-system,76a9d43725bd933fe4cdc4d25180cb55bfa44241,2026-08-21T16:44:30+02:00,Sincroniza y convierte las portadas en una interfaz editorial de producto,review_required,1306,3,2,0,1,none_repo_wide,review
feat/hermandades-hero-v2-baratillo-preview-20260824,27aa92b592de9c21f5e504bb60757c8a1ee90119,2026-08-24T15:26:23+02:00,Alinea la Hero V2 con la tipografía canónica de Hilo,review_required,861,12,12,0,1,none_repo_wide,review
feat/panel-paridad-creacion-20260827,2b56c6f71f3574a778b1df41aabc1d8a01c69428,2026-08-27T08:59:33+02:00,Actualiza la barrera de la paleta a la fuente canónica,review_required,760,20,19,0,1,none_repo_wide,review
feat/panel-portadas-entidades,a3ab9428d8317ac9fe3fcafa445ee16b923f1da7,2026-08-22T02:58:03+02:00,Sincroniza portadas de Imágenes con main actual,review_required,1212,1,1,0,1,none_repo_wide,review
fix/agentes-public-authority-20260823,32cf23a95fba59400118bb15d9a12149fcffa8c6,2026-08-23T23:23:46+02:00,test(agents): guard final public relation hardening,review_required,925,6,6,0,1,none_repo_wide,review
fix/agentes-public-authority-reconcile-20260823,c2ebea194bb5e7d838e0a5cdb5e35326b330bad0,2026-08-23T23:25:43+02:00,test(agents): guard final public relation hardening,review_required,924,2,2,0,1,none_repo_wide,review
fix/cierra-smoke-estructura-publica-20260824,d6867a7cf7e3df1e8bda684e3bd9e94899c22475,2026-08-24T00:37:35+02:00,Activa la corrección del smoke desde la PR,review_required,919,2,2,0,1,none_repo_wide,review
fix/directorios-imagenes-pasos-mobile,d3d5d3958b9646c984cbd74d8d4b28e5015c152e,2026-08-23T20:18:29+02:00,Protege el responsive de directorios relacionales,review_required,942,2,2,0,1,none_repo_wide,review
fix/glory-broken-image-assets-20260901,c3b75d1d200169509beb3834265770393e890ccd,2026-09-01T01:04:11+02:00,Glorias · repara fotografías WebP truncadas,review_required,433,1,1,0,1,none_repo_wide,review
fix/gran-poder-relaciones-ficha,380f06a90c7317d760a86d50e35248382dbc98e5,2026-08-22T16:52:41+02:00,Muestra todas las imágenes que procesionan en cada paso,review_required,1104,2,2,0,1,none_repo_wide,review
fix/hermandad-media-gestion-local-20260831,3d1aedb215ee37a5f01d074c154600367c9a530d,2026-08-31T21:45:36+02:00,Evita truncar títulos multimedia en móvil,review_required,452,13,12,0,1,none_repo_wide,review
fix/hermandades-musica-compacta,d89ff5054f306327e569431163e84701c6094acc,2026-08-22T01:37:13+02:00,Compacta el resumen de patrimonio musical,review_required,1260,5,5,0,2,none_repo_wide,review
fix/hermandades-musica-compacta-main,d89ff5054f306327e569431163e84701c6094acc,2026-08-22T01:37:13+02:00,Compacta el resumen de patrimonio musical,review_required,1260,5,5,0,2,none_repo_wide,review
fix/home-cerro-image,4ad92482e2e61e3ab012e9f49bce3a01c6cb5281,2026-09-05T17:43:14+02:00,Retira tercer marcador accidental,review_required,143,10,9,1,1,none_repo_wide,review
fix/home-mobile-modules-20260823,3ba106f54a6971597f2dbc05994d5fb89133a917,2026-08-23T22:18:34+02:00,Añade regresión del contrato móvil de Home,review_required,931,3,3,0,1,none_repo_wide,review
fix/piedad-photo-layer,ea05a721772776e4405128fcc352c92d2699ac8c,2026-08-21T01:44:44+02:00,Asegura la visibilidad de la foto de La Piedad,review_required,1329,1,1,0,1,none_repo_wide,review
revert/home-2-9-20260824,12f638b2e1071856f0abe3dbcf2e01906baed59f,2026-08-24T12:35:09+02:00,Retira la regresión de Home 2.9,review_required,872,4,4,0,1,none_repo_wide,review
seo/extraordinarias-pillar-20260824,fc54bb7710296eb38f83aebfb357202b92ac49f6,2026-08-24T11:57:46+02:00,Protege la página pilar SEO de Extraordinarias,review_required,886,4,4,0,1,none_repo_wide,review
temp-noop,dca39bfd6797bfad76cd8a8e9e4f7e182a25a1b1,2026-08-31T21:08:12+02:00,Blinda la composición móvil de la marca,review_required,454,3,3,0,1,none_repo_wide,review
ui/hermandades-acompanamiento-musical,5350271307874757d4f4b66222b739b0678b9e4d,2026-08-22T02:37:17+02:00,Ajusta el tono del acompañamiento musical en Penitencia,review_required,1219,1,1,0,1,none_repo_wide,review
ui/hermandades-acompanamiento-musical-v2,952aece8b74f658965ccda6c28d43b77f2911a15,2026-08-22T02:50:51+02:00,Rediseña el acompañamiento musical con logos y orden de cortejo,review_required,1219,3,3,0,1,none_repo_wide,review
