branch,sha,committed_at,subject,behind_main,ahead_main,unique_commits,pr_disposition,pr_number,pr_url,proposed_action,cleanup_status
agent/integracion-supabase,22992c30fc416571b50a589c591b87cd45c56e48,2026-08-12T18:53:02+02:00,Añade escudo y Rosarios de la Asunción,1637,9,9,merged_exact_tip,1,https://github.com/nachosanchezperez-ux/base-cofrade/pull/1,candidate_for_authorized_cleanup,deleted
agent/la-cena-indumentaria,28aaa4543c89a4a03feefa69e84063dd495d0e37,2026-08-21T00:11:27+02:00,Añade la ilustración WebP de La Cena,1341,2,2,merged_exact_tip,90,https://github.com/nachosanchezperez-ux/base-cofrade/pull/90,candidate_for_authorized_cleanup,deleted
agent/maestro-tejera-glorias,731597544609c9123be1427be1a43441a05e4742,2026-08-21T02:30:31+02:00,Reconcila la versión de la migración de Maestro Tejera,1323,2,2,merged_exact_tip,100,https://github.com/nachosanchezperez-ux/base-cofrade/pull/100,candidate_for_authorized_cleanup,deleted
agent/media-abierta-20260824,ada1faa78dda603c4aaac62cf022ea772e63dfe0,2026-08-24T02:06:28+02:00,Corrige el recuento canónico de activos multimedia,897,14,14,merged_exact_tip,311,https://github.com/nachosanchezperez-ux/base-cofrade/pull/311,candidate_for_authorized_cleanup,deleted
agent/mobile-nav-header-gap,e310039882db011f334ce60df00b5869116cc174,2026-08-20T22:48:59+02:00,Hace visible el menú móvil sobre las fichas,1347,2,2,merged_exact_tip,85,https://github.com/nachosanchezperez-ux/base-cofrade/pull/85,candidate_for_authorized_cleanup,deleted
agent/nucleo-relacional-diagnostico,35f8125847c2da676bf473c547d70faa0701b06d,2026-08-14T18:23:24+02:00,noop,1591,3,3,no_pr,,,preserve_unique_work,preserved
agent/nueva-hermandad-panel,bb4c05bd6d0f684859eccd021b4b5baf4e5ccd77,2026-08-14T15:51:58+02:00,Añade el formulario de nueva hermandad,1597,3,3,merged_exact_tip,14,https://github.com/nachosanchezperez-ux/base-cofrade/pull/14,candidate_for_authorized_cleanup,deleted
agent/nueva-imagen-panel,c8ab9f8024bb30f2e8c0a2bac02cd549bad7c56d,2026-08-14T16:32:24+02:00,Añade Imágenes a la navegación del panel,1597,7,7,merged_exact_tip,15,https://github.com/nachosanchezperez-ux/base-cofrade/pull/15,candidate_for_authorized_cleanup,deleted
agent/nuevo-paso-panel,83b1f92d9b5eb597dd20b46a6a928f00af25a570,2026-08-14T17:21:49+02:00,Añade acceso a pasos desde el resumen,1597,7,7,merged_exact_tip,17,https://github.com/nachosanchezperez-ux/base-cofrade/pull/17,candidate_for_authorized_cleanup,deleted
agent/ordena-directorio-bandas,222744bb9881494b5c93bf9fb13bb3e0d8e6de77,2026-09-04T18:23:05+02:00,Da jerarquía visual al directorio de bandas,213,2,2,merged_exact_tip,599,https://github.com/nachosanchezperez-ux/base-cofrade/pull/599,candidate_for_authorized_cleanup,deleted
agent/ordena-directorio-hermandades,09968ceda5a0a637f0fe756af800326a5445213f,2026-09-04T17:16:10+02:00,Aplica la ordenación cofrade en categorías del directorio,215,2,2,merged_exact_tip,597,https://github.com/nachosanchezperez-ux/base-cofrade/pull/597,candidate_for_authorized_cleanup,deleted
agent/panel-agentes-workspace-20260822,599efad638b3298bd3fbbb98c52b0d584e47cfe6,2026-08-22T15:06:49+02:00,Evita enlace público inexistente en Personas,1129,11,11,no_pr,,,preserve_unique_work,preserved
agent/panel-command-palette-20260823,4a66bfdae712a280ca7703f3f92b170b01f11702,2026-08-23T23:54:40+02:00,Amplía la regresión de búsqueda rápida a Extraordinarias,918,11,11,merged_exact_tip,294,https://github.com/nachosanchezperez-ux/base-cofrade/pull/294,candidate_for_authorized_cleanup,deleted
agent/panel-entity-parity-20260822,e3e87766881d0152ab9190734fe63ea58e7a0c02,2026-08-22T13:29:34+02:00,Expone la Advocación en la ficha de Imagen,1171,18,18,no_pr,,,preserve_unique_work,preserved
agent/panel-errores-metricas-20260823,dec8ad00e1c185cdba0753bcdfc4cbdc80025401,2026-08-23T03:55:05+02:00,Protege también cambios de archivos sin intentar restaurarlos,994,12,12,merged_exact_tip,247,https://github.com/nachosanchezperez-ux/base-cofrade/pull/247,candidate_for_authorized_cleanup,deleted
agent/panel-form-hierarchy-20260824,5925a87c3de0fbcc84354188ecd25291d00822d3,2026-08-24T00:19:08+02:00,Añade regresión de jerarquía y densidad del Panel,917,11,11,merged_exact_tip,296,https://github.com/nachosanchezperez-ux/base-cofrade/pull/296,candidate_for_authorized_cleanup,deleted
agent/panel-front-parity-p0-20260822,9b40a5890dd40137efc77b473e200d2cfc044a48,2026-08-22T12:17:52+02:00,Añade editor completo de Personas,1195,3,3,closed_unmerged_exact_tip,176,https://github.com/nachosanchezperez-ux/base-cofrade/pull/176,preserve_unique_work,preserved
agent/panel-hermandad-secciones-20260822,dcaf38dde8a768cc80df3d479329271c01c3a2f9,2026-08-22T14:20:49+02:00,Mantiene legibles las acciones al separar módulos,1143,3,3,merged_exact_tip,195,https://github.com/nachosanchezperez-ux/base-cofrade/pull/195,candidate_for_authorized_cleanup,deleted
agent/panel-hoy-centro-editorial-20260822,5c15dd057f571755de14a8e9fe87a6f13b6ba84b,2026-08-22T16:15:59+02:00,Recibe preselección desde el Banco editorial,1117,15,15,merged_exact_tip,209,https://github.com/nachosanchezperez-ux/base-cofrade/pull/209,candidate_for_authorized_cleanup,deleted
agent/panel-marchas-workspace-20260822,bdb8c4a05c4a94aa7ec47594bacdafc3110aa0eb,2026-08-22T15:41:13+02:00,Convierte General de Marchas en resumen operativo,1120,6,6,merged_exact_tip,207,https://github.com/nachosanchezperez-ux/base-cofrade/pull/207,candidate_for_authorized_cleanup,deleted
agent/panel-mobile-media-context-20260824,12f656e48281e9099dcd695c2a5b39fdb6a58f95,2026-08-24T01:14:05+02:00,Añade regresión del flujo móvil de fotos y carteles,914,7,7,merged_exact_tip,302,https://github.com/nachosanchezperez-ux/base-cofrade/pull/302,candidate_for_authorized_cleanup,deleted
agent/panel-nav-toast-20260823,ac486a89d60a84e167cf0d771890426622a0aafd,2026-08-23T03:20:07+02:00,Actualiza la prueba al nuevo patrón de pestañas,999,12,12,merged_exact_tip,238,https://github.com/nachosanchezperez-ux/base-cofrade/pull/238,candidate_for_authorized_cleanup,deleted
agent/panel-navigation-design-20260823,f4db001cbf07c52eaa1971173f5decb53796e2c0,2026-08-23T23:45:50+02:00,Actualiza la regresión de navegación contextual agrupada,919,13,13,merged_exact_tip,293,https://github.com/nachosanchezperez-ux/base-cofrade/pull/293,candidate_for_authorized_cleanup,deleted
agent/panel-parity-p0-20260822,0ed42310f4aee12cbfb8a190ed91e69d6a8b6ba2,2026-08-22T13:32:58+02:00,Añade navegación responsive del panel,1162,2,2,closed_unmerged_exact_tip,190,https://github.com/nachosanchezperez-ux/base-cofrade/pull/190,preserve_unique_work,preserved
agent/panel-pasos-secciones-20260822,d1ccef97c43eed3bbcc85f707d9ac810afa37e48,2026-08-22T14:29:36+02:00,Amplía el workspace del Paso con módulos propios,1141,6,6,merged_exact_tip,196,https://github.com/nachosanchezperez-ux/base-cofrade/pull/196,candidate_for_authorized_cleanup,deleted
agent/panel-ux-navegacion-feedback-20260823,d6bf56c3dbf6941aec369afcc00778c606b19006,2026-08-23T03:28:20+02:00,Evita solapar el estado sticky con el toast central,998,8,8,merged_exact_tip,241,https://github.com/nachosanchezperez-ux/base-cofrade/pull/241,candidate_for_authorized_cleanup,deleted
agent/panel-ux-segunda-pasada-20260823,2a3b8fb4b63f2596cbe34c8d99b054db10e446d6,2026-08-23T03:44:13+02:00,Limita la zona clicable a las listas editoriales,996,9,9,merged_exact_tip,244,https://github.com/nachosanchezperez-ux/base-cofrade/pull/244,candidate_for_authorized_cleanup,deleted
agent/patrimonio-asuncion,c65f241dac8b14a83bdb32d6d413a11387ed7d7e,2026-08-13T02:47:24+02:00,Alinea el catálogo patrimonial en dos columnas,1634,5,4,merged_pr_branch_moved,3,https://github.com/nachosanchezperez-ux/base-cofrade/pull/3,preserve_unique_work,preserved
agent/piedad-baratillo-patrimonio,b54c7afa787eb3302ce9e7026365be2cd4669b5d,2026-08-21T00:41:50+02:00,Actualiza La Piedad sobre el último main,1333,8,6,merged_exact_tip,92,https://github.com/nachosanchezperez-ux/base-cofrade/pull/92,candidate_for_authorized_cleanup,deleted
agent/relaciona-imagenes-hermandad,0ec04a52e463139512de7efcc496864eee886784,2026-08-14T17:10:24+02:00,Añade acceso a imágenes desde el editor de hermandad,1597,7,7,merged_exact_tip,16,https://github.com/nachosanchezperez-ux/base-cofrade/pull/16,candidate_for_authorized_cleanup,deleted
agent/san-benito-readiness,aea7e81b360346891ba6e42ccce6b6efd836b1d1,2026-08-15T00:07:26+02:00,Sincroniza main en San Benito readiness,1542,23,22,closed_unmerged_exact_tip,35,https://github.com/nachosanchezperez-ux/base-cofrade/pull/35,preserve_unique_work,preserved
agent/san-benito-readiness-sync-backup,feb8ccc530662f0e0e0ac66af312e11cbbb0aa00,2026-08-14T23:53:36+02:00,Hace realmente opcional el responsable de una intervención,1552,20,20,no_pr,,,preserve_unique_work,preserved
agent/san-bernardo-historico-musical,d69d9de8d40b936fd55838fd82ad58463a870b84,2026-09-05T23:37:26+02:00,Integra la cronología visual del histórico musical,129,4,4,merged_exact_tip,641,https://github.com/nachosanchezperez-ux/base-cofrade/pull/641,candidate_for_authorized_cleanup,deleted
agent/san-esteban-relacional-20260822,e9b3b7cc67246ab68990a2b2af5919814a9d8dbf,2026-08-22T22:57:32+02:00,Retira la versión provisional de la cronología de Las Cigarreras,1010,6,6,merged_exact_tip,233,https://github.com/nachosanchezperez-ux/base-cofrade/pull/233,candidate_for_authorized_cleanup,deleted
agent/seo-rendimiento-indexacion,7ee7b4dfaa2b5f13e9e7a367794cd05bdf3ee410,2026-08-19T15:01:21+02:00,Mantiene los nombres de bandas con jerarquía tipográfica común,1383,2,2,closed_unmerged_exact_tip,56,https://github.com/nachosanchezperez-ux/base-cofrade/pull/56,preserve_unique_work,preserved
agent/tira-del-hilo-2-10-fuentes-directas,79036a187adb7d28013ba6765ee4fb36728686fb,2026-08-22T03:16:24+02:00,Elimina estilos inline no utilizados,1206,9,9,merged_exact_tip,167,https://github.com/nachosanchezperez-ux/base-cofrade/pull/167,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-11-descubrimiento,016506d15238a48047bf2725ac1c80380db0128f,2026-08-22T03:21:39+02:00,Hace descubrible la exploración guiada del grafo,1204,6,6,closed_unmerged_exact_tip,168,https://github.com/nachosanchezperez-ux/base-cofrade/pull/168,preserve_unique_work,preserved
agent/tira-del-hilo-2-2-contexto-conjuntos,02b50ee169fadd97ee3119058ff497c3f70abb5e,2026-08-22T02:12:43+02:00,Mantiene conjuntos entre repreguntas conversacionales,1228,3,3,no_pr,,,preserve_unique_work,preserved
agent/tira-del-hilo-2-2-contexto-conjuntos-v2,d8145679fba6bca20ef9db5d9f686ddb432987a6,2026-08-22T02:16:26+02:00,Añade memoria contextual de conjuntos a Tira del hilo,1225,4,4,merged_exact_tip,149,https://github.com/nachosanchezperez-ux/base-cofrade/pull/149,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-3-contexto-general-v2,48567a2af6189327740dc9a4043c5da686fe56ac,2026-08-22T02:30:26+02:00,Afina comparativas sobre conjuntos,1219,7,7,merged_exact_tip,153,https://github.com/nachosanchezperez-ux/base-cofrade/pull/153,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-4-graph-reasoning,710cf518782d47bf76c71d95171eac94ef1d09cb,2026-08-22T02:34:53+02:00,Activa el razonamiento del grafo en Tira del hilo,1218,4,4,merged_exact_tip,156,https://github.com/nachosanchezperez-ux/base-cofrade/pull/156,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-5-descubrimiento,409c7807ce8012e54c5985c29442b7a0b0a72df9,2026-08-22T15:03:01+02:00,Activa el modo de descubrimiento en Tira del hilo,1129,2,2,merged_exact_tip,198,https://github.com/nachosanchezperez-ux/base-cofrade/pull/198,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-5-rutas-y-tiempo,4e440e6ca6fba8f417485b021b034a04ae43e6c5,2026-08-22T02:43:07+02:00,Cubre órdenes temporales en ambos sentidos,1215,9,9,merged_exact_tip,157,https://github.com/nachosanchezperez-ux/base-cofrade/pull/157,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-6-evidencia,335c2681df7dd4fe0cd81e1cfe2261a32aa599c3,2026-08-22T02:47:56+02:00,Hace visible la base de cada respuesta,1213,7,7,merged_exact_tip,159,https://github.com/nachosanchezperez-ux/base-cofrade/pull/159,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-6-semantico,9ac2e6904cef9353399d63e1113c17b35d85293e,2026-08-22T15:22:26+02:00,Conserva la correspondencia entre plan y respuestas,1123,7,7,merged_exact_tip,203,https://github.com/nachosanchezperez-ux/base-cofrade/pull/203,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-7-fuentes,0111641e5e4656b48db7766a795ee94e513517b6,2026-08-22T02:54:08+02:00,Activa fuentes vinculadas en Tira del hilo,1210,7,7,merged_exact_tip,162,https://github.com/nachosanchezperez-ux/base-cofrade/pull/162,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-7-gratis-compuestas,d66bf0f502b6ee2d604aeee644e15dabe5af6380,2026-08-22T15:41:30+02:00,Ajusta pruebas a capacidades gratuitas soportadas,1121,7,7,merged_exact_tip,206,https://github.com/nachosanchezperez-ux/base-cofrade/pull/206,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-8-fuentes-relacion,ac78cbb9515191393d2809fb777193998ada8865,2026-08-22T03:02:10+02:00,Cubre soporte documental de las aristas,1209,8,8,merged_exact_tip,164,https://github.com/nachosanchezperez-ux/base-cofrade/pull/164,candidate_for_authorized_cleanup,deleted
agent/tira-del-hilo-2-8-marchas-gratis,49ddf77348d258c06551b90115113ba7cf095f23,2026-08-22T15:54:19+02:00,Expone huecos documentales en respuestas compuestas,1118,12,12,merged_exact_tip,208,https://github.com/nachosanchezperez-ux/base-cofrade/pull/208,candidate_for_authorized_cleanup,deleted
